Date,Price,Open,High,Low,Vol.,Change %
"Oct 04, 2013",973.12,969.80,975.84,966.29,953.95M,-0.16%
"Oct 07, 2013",962.87,970.57,976.52,962.30,1.38B,-1.05%
"Oct 08, 2013",978.53,962.91,981.54,959.79,1.09B,1.63%
"Oct 09, 2013",979.02,979.87,980.75,973.30,906.23M,0.05%
"Oct 10, 2013",991.92,981.20,995.00,979.84,1.35B,1.32%
"Oct 11, 2013",996.01,1004.42,1005.07,992.88,1.29B,0.41%
"Oct 14, 2013",997.23,990.16,998.42,984.19,2.16B,0.12%
"Oct 15, 2013",1006.65,1004.08,1009.38,1001.28,1.73B,0.94%
"Oct 16, 2013",999.59,1005.22,1010.44,999.59,2.32B,-0.70%
"Oct 17, 2013",1002.85,1003.47,1011.19,997.75,2.77B,0.33%
"Oct 18, 2013",1014.42,1008.58,1014.87,1003.93,1.31B,1.15%
"Oct 21, 2013",988.50,1013.57,1014.28,986.25,1.50B,-2.56%
"Oct 22, 2013",994.70,987.13,994.70,981.17,1.27B,0.63%
"Oct 24, 2013",1001.30,986.34,1001.30,984.68,1.02B,0.66%
"Oct 25, 2013",992.01,999.47,999.77,989.83,1.04B,-0.93%
"Oct 28, 2013",988.57,995.08,998.55,984.47,623.54M,-0.35%
"Oct 29, 2013",992.83,988.16,993.63,985.33,772.83M,0.43%
"Oct 30, 2013",977.09,993.21,993.72,973.87,1.25B,-1.59%
"Oct 31, 2013",987.06,971.42,987.06,968.53,1.87B,1.02%
"Nov 01, 2013",977.27,977.54,980.08,971.46,1.11B,-0.99%
"Nov 04, 2013",949.84,965.43,965.78,949.11,1.32B,-2.81%
"Nov 05, 2013",967.41,954.97,969.49,954.25,1.51B,1.85%
"Nov 06, 2013",982.61,969.80,983.65,962.40,1.44B,1.57%
"Nov 07, 2013",975.97,980.49,986.31,971.77,1.58B,-0.68%
"Nov 08, 2013",960.68,968.54,968.95,955.22,1.39B,-1.57%
"Nov 11, 2013",962.39,944.72,964.47,941.84,1.15B,0.18%
"Nov 12, 2013",965.95,970.04,974.20,963.65,913.32M,0.37%
"Nov 13, 2013",957.50,958.74,965.89,956.86,778.58M,-0.87%
"Nov 14, 2013",966.27,962.46,971.11,961.87,1.06B,0.92%
